SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC40305,..,8,8,6,0,6,3,0,3,4,0,4,0,0,0,0,0,0,16,8,23
SSC40306,..,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,5
SSC40307,..,4,4,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,10,17
SSC40308,..,15,15,13,0,13,6,0,6,0,0,0,0,0,0,0,0,0,17,15,35
SSC40309,..,17,17,21,0,21,4,0,4,8,0,8,0,0,0,0,0,0,32,17,50
SSC40310,..,11,11,34,0,38,22,0,22,18,0,18,11,0,11,3,0,3,94,18,105
SSC40311,..,174,174,520,27,546,260,3,264,313,3,317,111,0,111,29,0,29,1237,211,1441
SSC40312,..,0,0,3,0,5,5,0,5,3,0,3,4,0,4,0,0,0,11,0,13
SSC40313,..,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,3
SSC40314,..,13,13,19,3,17,11,0,11,7,0,7,5,0,5,7,0,7,49,13,64
SSC40315,..,187,187,122,28,151,89,16,100,56,0,57,29,0,30,12,0,9,302,236,542
SSC40316,..,126,126,176,7,178,40,0,40,49,0,49,21,0,21,4,0,4,292,133,425
SSC40317,..,25,25,22,0,17,3,0,3,9,0,9,0,0,0,3,0,3,37,24,55
SSC40318,..,3,3,8,0,6,3,0,3,0,0,0,0,0,0,0,0,0,15,3,18
SSC40319,..,117,117,248,8,251,119,0,114,140,0,140,45,0,45,15,0,15,567,120,688
SSC40320,..,70,70,146,0,147,81,0,81,99,0,99,35,0,35,4,0,4,359,71,437
SSC40321,..,68,68,242,3,249,122,0,128,248,4,247,61,3,69,12,0,12,692,84,769
SSC40322,..,647,647,1186,67,1257,662,9,675,674,4,680,257,0,257,167,0,167,2955,735,3685
SSC40323,..,10,10,22,0,25,11,0,11,18,0,18,5,0,5,0,0,0,61,6,72
SSC40324,..,15,15,29,0,29,12,0,12,12,0,12,4,0,4,4,0,4,52,15,69
SSC40325,..,18,18,18,0,18,12,0,9,4,0,4,0,0,0,0,0,0,36,15,55
SSC40326,..,106,106,118,27,145,90,3,94,68,0,68,25,0,27,11,0,11,303,141,445
SSC40327,..,453,453,341,61,402,229,23,256,165,16,180,92,11,102,56,3,59,879,566,1445
SSC40328,..,196,196,221,9,233,69,0,69,54,0,54,28,0,28,18,0,18,397,207,605
SSC40329,..,15,15,56,3,57,21,0,21,25,0,25,14,0,14,8,0,8,123,21,143
SSC40330,..,3,3,10,0,18,3,0,3,3,0,3,0,0,0,0,0,0,20,6,29
SSC40331,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40332,..,262,262,246,23,268,155,10,167,187,3,190,50,0,50,23,0,23,659,296,957
SSC40333,..,95,95,151,8,158,25,0,25,47,0,47,23,0,23,7,0,7,264,96,361
SSC40334,..,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,3,12
SSC40335,..,3,3,3,0,3,4,0,4,0,0,0,3,0,3,0,0,0,13,3,18
SSC40336,..,4,4,5,0,5,4,0,4,3,0,3,0,0,0,3,0,3,20,4,24
SSC40337,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40338,..,43,43,36,0,36,16,0,16,10,0,10,8,0,8,5,0,5,81,43,127
SSC40339,..,29,29,60,0,59,23,0,23,23,0,23,3,0,3,7,0,7,112,28,139
SSC40340,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
SSC40341,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC40342,..,5,5,11,0,10,3,0,3,3,0,3,3,0,3,0,0,0,21,5,29
SSC40343,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40344,..,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
SSC40345,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40346,..,6,6,10,0,11,3,0,3,4,0,4,3,0,3,0,0,0,23,13,35
SSC40347,..,112,112,147,20,164,70,11,88,58,0,61,23,3,29,16,0,12,314,147,464
SSC40348,..,4,4,4,0,6,6,0,6,3,0,3,3,0,3,4,0,4,23,8,32
SSC40349,..,4,4,3,0,3,3,0,3,6,0,6,0,0,0,0,0,0,16,4,24
SSC40350,..,693,693,630,91,721,319,17,337,266,4,269,141,3,138,119,0,119,1477,813,2284
SSC40351,..,338,338,256,28,285,150,12,163,162,0,164,52,3,56,12,0,16,630,382,1011
SSC40352,..,19,19,38,0,38,22,0,22,23,0,23,3,0,3,3,0,3,76,18,95
SSC40353,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40354,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
SSC40355,..,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,12,0,9
SSC40356,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC40357,..,18,18,25,0,29,3,0,3,11,0,11,3,0,3,0,0,0,43,17,62
SSC40358,..,13,13,21,0,21,9,0,9,8,0,8,3,0,3,0,0,0,40,13,52
SSC40359,..,268,268,498,25,521,215,8,223,240,0,243,104,0,104,38,0,38,1100,300,1404
SSC40360,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10
SSC40361,..,163,163,105,31,133,49,10,54,47,5,53,12,0,12,3,0,3,206,207,413
SSC40362,..,0,0,16,0,16,3,0,3,3,0,3,0,0,0,0,0,0,22,0,24
SSC40363,..,36,36,69,8,71,49,0,50,47,0,47,11,0,11,16,0,16,184,48,232
SSC40364,..,3,3,6,0,6,4,0,4,0,0,0,0,0,0,0,0,0,14,3,17
SSC40365,..,23,23,23,3,25,0,0,0,0,0,0,0,0,0,0,0,0,23,25,50
SSC40366,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40367,..,344,344,359,44,401,167,21,182,149,0,156,43,0,44,24,0,24,739,414,1154
SSC40368,..,0,0,9,0,9,0,0,0,0,0,0,3,0,3,0,0,0,18,0,18
SSC40369,..,34,34,21,6,25,9,4,11,5,0,9,3,0,3,3,0,3,46,45,94
SSC40370,..,49,49,38,4,47,32,0,32,23,0,23,5,0,5,8,0,8,105,54,155
SSC40371,..,11,11,15,0,15,3,0,3,4,0,4,0,0,0,0,0,0,27,11,35
SSC40372,..,7,7,7,0,7,3,0,3,3,0,3,0,0,0,0,0,0,17,7,23
SSC40373,..,96,96,62,15,79,30,5,34,37,0,37,13,0,14,8,0,8,149,115,258
SSC40374,..,3,3,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,3,3,6
SSC40375,..,194,194,185,23,205,78,11,88,112,3,117,48,0,48,9,3,6,433,225,657
SSC40376,..,3,3,8,0,12,0,0,0,5,0,5,0,0,0,0,0,0,18,5,25
SSC40377,..,12,12,23,0,24,5,0,5,4,0,4,4,0,4,0,0,0,39,12,46
SSC40378,..,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
SSC40379,..,14,14,27,0,28,4,0,4,10,0,10,3,0,3,0,0,0,43,16,65
SSC40380,..,154,154,106,15,120,30,3,33,31,0,35,5,0,5,3,0,3,179,175,349
