SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40726,4,0,0,0,14
SSC40727,3,3,0,0,18
SSC40728,0,0,0,0,0
SSC40729,0,0,0,0,0
SSC40730,3,3,0,0,9
SSC40731,0,0,0,0,3
SSC40732,0,0,0,0,0
SSC40733,0,0,0,0,0
SSC40734,0,0,0,0,0
SSC40735,0,0,0,0,0
SSC40736,0,0,0,0,0
SSC40737,3,0,3,0,20
SSC40738,0,0,0,0,0
SSC40739,0,0,0,0,3
SSC40740,51,45,25,14,327
SSC40741,33,29,7,0,177
SSC40742,0,0,0,0,0
SSC40743,382,209,86,98,1974
SSC40744,272,133,84,63,1688
SSC40745,66,45,20,5,301
SSC40746,4,0,0,0,4
SSC40747,3,0,0,0,25
SSC40748,140,160,152,107,947
SSC40749,14,3,6,0,47
SSC40750,11,7,5,0,40
SSC40751,18,3,0,0,109
SSC40752,8,3,3,0,20
SSC40753,61,34,14,3,243
SSC40754,223,109,21,0,1241
SSC40755,20,20,0,0,85
SSC40756,0,0,0,0,8
SSC40757,0,0,0,0,3
SSC40758,179,158,113,121,1188
SSC40759,0,0,0,0,3
SSC40760,3,3,3,0,21
SSC40761,16,7,0,0,81
SSC40762,0,4,0,0,7
SSC40763,249,170,37,10,1468
SSC40764,215,96,61,12,1133
SSC40765,5,3,0,0,37
SSC40766,12,7,0,0,43
SSC40767,18,0,5,3,89
SSC40768,442,271,178,139,2811
SSC40769,7,7,0,0,45
SSC40770,3,0,0,0,26
SSC40771,36,18,8,4,159
SSC40772,0,5,0,0,16
SSC40773,12,9,0,0,45
SSC40774,76,27,10,0,256
SSC40775,0,3,0,0,22
SSC40776,4,0,0,0,13
SSC40777,0,4,0,0,15
SSC40778,29,19,3,0,103
SSC40779,47,30,8,0,210
SSC40780,18,18,7,0,87
SSC40781,225,148,70,24,1200
SSC40782,296,218,122,61,1802
SSC40783,50,31,13,5,335
SSC40784,52,31,7,3,221
SSC40785,0,0,0,3,12
SSC40786,0,0,0,0,10
SSC40787,159,101,57,9,959
SSC40788,25,37,3,0,147
SSC40789,27,27,5,0,117
SSC40790,0,3,0,0,22
SSC40791,171,86,19,9,722
