SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC40108,521,44,14,0,0,583,108,10,5,0,0,123,6,0,0,0,0,6,640,53,25,0,3,719
SSC40109,425,60,194,0,4,679,41,16,46,0,0,101,7,0,5,0,0,11,472,81,245,0,4,797
SSC40110,10,0,0,0,0,10,6,0,0,0,0,6,0,0,0,0,0,0,18,0,0,0,0,18
SSC40111,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
SSC40112,12,0,0,0,0,13,4,0,0,0,0,4,3,0,0,0,0,3,15,0,0,0,0,15
SSC40113,17,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
SSC40114,19,0,0,0,0,19,13,0,0,0,0,13,3,0,0,0,0,3,30,0,0,0,0,34
SSC40115,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40116,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,17
SSC40117,1218,75,152,0,3,1453,91,9,67,0,0,175,25,5,6,0,0,44,1341,98,227,0,4,1671
SSC40118,977,158,59,6,4,1204,255,61,20,3,0,337,31,11,4,0,0,45,1262,231,83,12,9,1590
SSC40119,2075,113,0,0,0,2192,219,30,0,0,0,250,46,3,0,0,0,45,2340,143,0,0,0,2488
SSC40120,112,0,0,0,0,113,9,0,0,0,0,9,3,0,0,0,0,3,116,0,0,0,0,121
SSC40121,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,12
SSC40122,76,0,0,0,3,84,43,0,0,0,0,46,4,0,0,0,0,8,130,0,0,0,5,139
SSC40123,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27
SSC40124,100,3,0,0,0,102,8,0,0,0,0,10,3,0,0,0,0,3,111,3,0,0,0,115
SSC40125,5,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,12
SSC40126,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,15
SSC40127,139,0,0,7,0,142,34,0,0,0,0,34,6,0,0,0,0,7,181,0,0,7,0,184
SSC40128,18,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
SSC40129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40130,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC40131,5,0,0,65,0,77,11,0,0,44,0,57,3,0,0,5,0,8,21,0,0,115,0,135
SSC40132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40133,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC40134,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC40135,56,0,0,0,3,60,28,0,0,0,0,28,0,0,0,0,0,0,79,0,0,0,3,85
SSC40136,34,0,0,3,0,40,10,0,0,0,0,10,0,0,0,0,0,0,44,0,0,3,0,45
SSC40137,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC40138,137,4,0,0,0,138,34,7,0,0,0,47,4,0,0,0,0,4,174,10,0,0,0,191
SSC40139,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8
SSC40140,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40141,16,0,0,0,0,15,8,0,0,0,0,8,0,0,0,0,0,0,24,0,0,0,0,24
SSC40142,755,12,3,6,3,787,282,4,3,3,0,293,30,0,0,0,0,30,1074,10,10,10,5,1113
SSC40143,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SSC40144,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18
SSC40145,288,0,0,3,0,288,19,0,0,0,0,19,3,0,0,0,0,3,307,0,0,3,0,310
SSC40146,66,164,119,0,0,353,16,54,12,0,0,82,7,7,7,0,0,20,89,225,135,0,0,453
SSC40147,14,0,0,0,0,14,0,0,0,3,0,3,0,0,0,0,0,0,18,0,0,3,0,17
SSC40148,43,0,0,0,0,43,6,0,0,0,0,13,3,0,0,0,0,3,54,0,0,0,0,50
SSC40149,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC40150,17,0,0,0,0,17,6,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,20
SSC40151,63,0,0,0,0,63,3,0,0,0,0,3,0,0,0,0,0,0,67,0,0,0,0,67
SSC40152,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC40153,871,42,10,0,0,920,228,24,4,0,0,259,28,3,0,0,0,31,1125,69,19,0,0,1215
SSC40154,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC40155,17,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,21
SSC40156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
SSC40157,21,0,0,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,26,0,0,0,0,31
SSC40158,1194,11,3,0,0,1212,100,0,0,0,0,107,24,0,0,0,0,28,1317,19,5,0,0,1339
SSC40159,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC40160,815,367,63,3,8,1251,114,109,17,0,0,239,14,8,0,0,0,27,940,486,86,3,10,1517
SSC40161,19,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,19,0,0,0,0,19
SSC40162,25,0,0,0,0,25,7,0,0,0,0,7,0,0,0,0,0,3,30,0,0,0,0,32
SSC40163,88,0,0,3,0,93,22,0,0,0,0,22,0,0,0,0,0,0,113,0,0,3,0,109
SSC40164,914,321,125,0,10,1363,147,88,67,0,0,307,20,16,21,0,0,56,1073,429,212,0,14,1727
SSC40165,332,835,47,3,0,1220,61,135,15,0,0,207,11,16,0,0,0,29,407,991,63,3,0,1461
