SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC41555,1269,1354,2621,595,296,884,131,336,464,31,58,95,40,31,70,793,717,1512,402,570,970,5,4.3,4.6,62.5,53,57.7,59.7,51,55.1,54,45,93,20,32,53,150,209,360,124,143,268,327,134,459,7,18,31,38,49,88,366,204,569,1200,1269,2467,172,203,370,882,960,1844,452,478,928
SSC41556,11,8,19,0,0,7,0,0,4,0,0,0,0,0,4,9,3,8,3,3,5,0,0,50,81.8,37.5,42.1,0,0,57.9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,9,12,18,0,0,0,6,7,11,8,0,7
SSC41557,406,404,808,171,114,289,66,87,157,10,11,20,18,17,39,265,236,500,120,143,265,6.8,7.2,7.8,65.3,58.4,61.9,60.8,52.5,57.7,9,12,25,0,3,9,46,73,120,20,39,60,99,51,149,10,7,14,5,4,14,112,60,173,391,352,749,70,76,150,267,248,511,176,176,354
SSC41558,4,3,12,5,0,5,0,0,3,0,0,0,0,0,0,3,0,10,0,0,3,0,0,0,75,0,83.3,125,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,5,4,0,3,3,0,3,3,0,3,3
SSC41559,980,1159,2144,425,236,665,161,346,506,20,29,55,52,36,91,664,649,1315,281,437,722,7.8,5.5,6.9,67.8,56,61.3,61.8,52.7,57.2,91,82,172,35,62,95,245,287,531,97,98,199,149,68,221,9,6,15,17,21,39,172,97,268,978,1103,2086,163,183,338,693,769,1463,409,482,891
SSC41560,51,42,93,33,16,46,3,14,14,4,6,8,0,0,0,36,35,69,14,9,18,0,0,0,70.6,83.3,74.2,78.4,85.7,73.1,0,0,0,0,0,0,3,7,4,4,5,9,8,5,9,0,0,4,0,0,0,5,4,14,55,47,102,5,6,7,54,40,94,10,4,18
SSC41561,12,4,19,4,0,9,0,0,0,0,0,0,0,0,0,11,4,13,6,0,6,0,0,0,91.7,100,68.4,33.3,0,47.4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,10,4,13,3,0,3,11,4,16,6,0,6
SSC41562,9,12,24,11,3,10,0,3,0,0,0,0,0,0,0,10,5,14,3,0,9,0,0,0,111.1,41.7,58.3,122.2,50,41.7,0,0,0,0,0,0,0,3,6,0,3,3,3,0,3,0,0,0,0,0,0,5,0,5,17,10,23,0,0,0,15,4,19,0,0,0
SSC41563,35,41,84,16,11,26,6,8,14,0,0,4,4,0,4,23,26,48,12,16,32,17.4,0,8.3,65.7,63.4,57.1,62.9,46.3,52.4,0,0,0,0,0,0,3,4,7,3,4,8,13,7,15,0,4,4,0,0,0,13,8,19,32,42,81,4,8,13,17,30,50,19,24,40
SSC41564,7,4,14,4,0,4,3,5,7,0,0,0,0,0,0,9,4,13,0,0,0,0,0,0,128.6,100,92.9,100,125,78.6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,8,7,9,13,0,0,0,7,3,13,0,3,4
SSC41565,74,65,136,28,14,48,7,22,26,5,0,9,3,0,3,46,34,79,22,20,45,6.5,0,3.8,62.2,52.3,58.1,54.1,55.4,61,0,0,0,3,0,3,3,3,4,0,3,10,24,5,29,3,0,3,0,0,3,24,7,35,69,60,124,7,4,14,55,41,96,21,22,38
SSC41566,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0
SSC41567,17,18,34,11,6,17,3,4,6,4,0,4,0,0,3,12,10,30,4,7,10,0,0,10,70.6,55.6,88.2,105.9,55.6,79.4,0,0,0,0,0,0,0,3,3,0,0,0,3,0,6,0,0,0,0,0,0,8,0,6,25,20,49,0,0,0,18,14,34,3,3,7
SSC41568,6,6,11,6,3,8,0,0,3,0,0,0,0,0,0,6,3,16,0,0,0,0,0,0,100,50,145.5,100,50,100,0,0,0,0,0,0,0,0,0,4,0,4,5,3,9,0,0,0,0,0,0,7,3,7,12,10,21,0,0,0,4,3,13,7,0,6
SSC41569,139,123,264,56,27,84,28,41,69,6,11,16,0,0,4,96,73,168,39,50,91,0,0,2.4,69.1,59.3,63.6,64.7,64.2,64,4,3,6,3,5,8,12,18,29,14,9,22,22,15,41,3,0,3,3,6,6,33,23,52,136,124,254,9,13,26,106,95,205,35,36,74
SSC41570,23,19,37,12,4,10,0,3,3,0,0,0,0,0,0,11,5,19,8,11,15,0,0,0,47.8,26.3,51.4,52.2,36.8,35.1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,4,0,9,23,19,37,0,0,3,13,11,26,3,6,13
SSC41571,1538,1486,3025,705,352,1058,123,379,503,36,49,84,106,57,165,962,841,1805,494,573,1067,11,6.8,9.1,62.5,56.6,59.7,56.2,52.5,54.4,31,38,69,13,19,29,118,207,324,100,130,229,557,184,735,21,19,41,14,21,35,591,228,821,1457,1416,2870,240,230,471,1129,1067,2201,531,539,1075
SSC41572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41573,720,745,1466,396,197,590,65,201,269,22,38,55,42,30,68,525,466,989,164,245,415,8,6.4,6.9,72.9,62.6,67.5,67.1,58.5,62.3,11,16,25,6,10,14,70,104,167,47,62,111,267,106,370,3,21,29,9,23,36,282,157,431,675,706,1379,191,211,407,413,431,840,396,426,825
