SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC40590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40591,0,0,0,0,0,0,0,0,3,0,4,4,0,9,10,0,0,0,4,3,9,0,6,9,3,3,10,4,3,10,7,0,5,0,0,0,0,4,9,3,0,4,0,0,0,0,3,3,0,0,0,4,3,8,0,3,3,32,43,76
SSC40592,0,0,8,3,0,7,3,11,17,0,16,17,14,35,51,16,23,38,61,16,81,50,10,61,45,16,59,46,8,57,20,6,32,26,3,31,23,0,25,20,0,19,8,0,8,10,0,10,7,0,11,46,0,46,10,3,9,420,162,584
SSC40593,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,3,0,0,3,0,3,6,0,6,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,27,9,36
SSC40594,0,3,3,0,0,0,3,3,3,3,7,5,3,6,13,4,0,9,22,0,22,10,7,17,10,0,12,15,0,12,8,0,8,11,0,12,14,0,9,8,0,8,6,0,6,0,0,0,10,0,10,12,0,14,0,0,3,141,33,174
SSC40595,3,11,10,3,10,9,10,28,33,5,48,52,22,97,123,28,31,59,87,46,135,97,44,137,88,59,144,83,31,111,62,14,72,73,11,79,123,19,137,54,3,58,20,0,26,7,8,14,12,0,12,63,8,73,7,23,37,847,482,1328
SSC40596,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,4,3,0,3,3,0,3,3,0,3,3,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,34
SSC40597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40598,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,9,21
SSC40599,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,3,5,0,10,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,5,0,9,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,33,9,41
SSC40600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40601,12,19,30,13,13,21,11,52,60,10,79,88,61,284,343,60,153,213,226,83,315,156,101,258,218,100,315,191,47,242,157,27,183,133,30,161,268,17,286,164,3,163,89,0,89,41,3,44,52,0,49,150,14,166,19,72,90,2031,1093,3120
SSC40602,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,4,14
SSC40603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,3
SSC40605,0,0,0,0,0,0,0,3,4,3,0,5,3,0,6,0,0,0,3,0,3,4,6,9,9,3,18,11,3,14,12,0,12,4,0,6,23,0,20,12,0,12,11,0,11,3,0,3,11,0,11,24,0,21,0,0,3,144,23,168
SSC40606,4,5,7,0,3,4,0,19,19,3,36,35,14,94,105,13,65,75,52,49,107,37,44,80,68,44,115,63,25,87,38,25,59,43,23,65,98,14,119,64,3,68,41,0,41,36,11,46,78,0,80,83,6,92,4,30,39,747,504,1251
SSC40607,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,6,3,0,4,7,0,7,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,35,9,39
SSC40608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8
SSC40609,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,4,3,3,0,3,8,0,8,6,0,11,9,3,13,6,0,6,4,0,9,22,3,24,9,0,9,4,0,4,8,0,11,6,0,6,13,0,13,3,0,3,120,17,139
SSC40610,6,7,12,0,3,9,11,39,48,12,53,72,44,88,133,81,40,124,128,38,164,85,51,134,140,36,173,123,27,154,82,17,95,76,10,79,108,7,114,62,0,60,10,0,10,4,0,3,10,0,11,91,14,101,16,18,40,1100,445,1542
SSC40611,3,3,9,0,0,6,0,4,4,3,12,11,12,17,22,3,11,14,17,22,38,18,14,30,17,11,32,27,9,37,26,14,42,26,17,42,51,14,60,36,0,36,22,0,30,26,22,51,123,0,125,41,3,46,3,4,7,453,180,633
SSC40612,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,5,3,8,4,3,7,3,0,3,0,0,0,3,0,3,10,0,10,5,0,5,3,0,3,0,0,0,0,0,0,5,0,5,0,0,3,46,14,53
