SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC40879,35,4,65,165,229,128,128,192,83,923
SSC40880,0,0,3,29,26,23,17,37,24,151
SSC40881,0,0,0,46,36,29,34,16,7,165
SSC40882,0,0,0,3,0,0,3,3,0,12
SSC40883,0,0,0,5,19,0,4,8,3,43
SSC40884,84,18,131,362,427,220,129,310,106,1550
SSC40885,0,0,0,11,7,6,8,4,4,37
SSC40886,64,20,141,1024,1240,493,393,1169,338,4663
SSC40887,0,0,0,3,3,3,4,3,3,19
SSC40888,10,5,33,496,689,283,167,370,158,2160
SSC40889,0,0,0,0,3,0,0,0,0,3
SSC40890,0,0,0,44,56,34,17,20,11,177
SSC40891,75,28,152,932,1092,543,409,1182,264,4424
SSC40892,30,11,83,1252,1608,735,528,1107,255,5482
SSC40893,25,15,71,1028,1320,605,473,913,235,4571
SSC40894,0,0,0,0,5,0,0,3,0,10
SSC40895,0,0,0,37,41,25,24,16,15,164
SSC40896,3,0,3,17,35,23,18,23,14,132
SSC40897,6,3,12,182,280,131,94,162,74,936
SSC40898,0,0,0,12,29,20,17,9,10,96
SSC40899,0,0,0,0,0,0,0,0,0,3
SSC40900,0,0,3,46,79,30,31,30,26,241
SSC40901,0,0,0,4,5,4,0,4,0,24
SSC40902,0,0,0,25,39,16,17,14,6,109
SSC40903,0,0,0,0,0,0,0,4,0,9
SSC40904,0,0,0,3,0,4,3,0,0,17
SSC40905,0,0,0,0,0,0,0,0,0,0
SSC40906,5,10,28,70,145,72,55,142,61,538
SSC40907,19,8,57,335,546,301,238,400,191,2016
SSC40908,0,0,7,29,44,17,22,53,21,181
SSC40909,7,4,18,130,174,82,84,78,514,1056
SSC40910,0,0,0,4,9,7,5,14,8,43
SSC40911,0,0,0,29,48,16,17,27,15,152
SSC40912,0,0,0,32,35,20,18,28,17,148
SSC40913,0,3,3,16,17,9,13,4,0,61
SSC40914,0,0,0,8,4,0,3,0,0,17
SSC40915,5,3,9,74,112,64,64,93,38,441
SSC40916,0,0,0,4,4,0,3,4,0,10
SSC40917,217,113,481,4133,5180,2355,1828,4172,1419,19086
SSC40918,0,0,0,0,0,0,0,0,3,3
SSC40919,192,19,252,582,681,261,197,854,190,2771
SSC40920,0,0,0,5,0,0,6,0,0,9
SSC40921,0,0,0,8,3,0,3,0,0,15
SSC40922,0,0,0,19,21,16,20,20,12,99
SSC40923,157,59,307,2482,3286,1517,1086,1829,795,10991
SSC40924,0,0,0,4,0,0,0,0,0,4
SSC40925,0,0,0,31,35,16,20,23,12,139
SSC40926,0,0,0,18,24,19,14,12,0,84
SSC40927,0,0,0,17,20,12,11,21,9,92
SSC40928,0,0,0,21,26,21,14,8,5,91
SSC40929,0,0,0,0,0,0,0,0,0,3
SSC40930,0,3,4,36,66,45,30,72,37,292
SSC40931,0,0,0,7,7,5,4,9,0,32
SSC40932,0,0,0,0,3,0,0,0,0,10
SSC40933,3,3,10,222,348,175,145,168,82,1141
SSC40934,0,0,0,0,3,5,0,0,0,9
SSC40935,0,0,0,23,34,17,11,10,9,110
