SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC41391,5,36,52,23,21,138,8,150
SSC41392,0,0,3,3,4,9,0,9
SSC41393,0,5,8,0,0,16,0,18
SSC41394,0,3,18,0,5,27,3,30
SSC41395,0,3,5,4,3,13,0,13
SSC41396,44,417,553,163,74,1248,10,1259
SSC41397,0,3,7,3,3,17,0,17
SSC41398,0,16,83,43,36,183,0,188
SSC41399,7,36,37,22,7,108,15,115
SSC41400,0,6,22,15,9,47,0,50
SSC41401,0,0,0,3,6,3,0,3
SSC41402,38,279,238,93,43,696,25,721
SSC41403,0,3,4,0,3,7,0,7
SSC41404,0,0,0,0,0,3,0,3
SSC41405,3,37,63,42,27,173,4,178
SSC41406,81,652,696,223,131,1779,42,1826
SSC41407,171,515,370,124,34,1210,46,1256
SSC41408,0,3,8,5,0,15,0,15
SSC41409,0,0,8,3,3,11,0,13
SSC41410,0,0,0,0,0,0,0,0
SSC41411,0,4,3,4,0,16,0,20
SSC41412,0,25,36,16,18,95,5,98
SSC41413,0,4,3,4,0,6,0,11
SSC41414,3,68,66,29,18,176,3,183
SSC41415,0,14,40,15,7,75,3,79
SSC41416,0,3,0,0,0,3,0,3
SSC41417,0,14,36,23,21,89,0,91
SSC41418,56,408,506,177,93,1237,19,1255
SSC41419,0,0,0,0,0,0,0,0
SSC41420,0,8,17,12,8,39,0,35
SSC41421,3,3,10,8,13,37,3,38
SSC41422,12,158,198,61,39,462,8,467
SSC41423,0,3,3,0,0,8,0,10
SSC41424,3,79,122,53,30,284,7,293
SSC41425,0,19,21,8,6,52,7,56
SSC41426,0,0,3,0,3,9,0,9
SSC41427,0,23,21,0,3,49,0,49
SSC41428,0,10,20,16,8,55,0,55
SSC41429,124,272,176,31,10,617,26,638
SSC41430,14,50,71,25,18,182,13,193
SSC41431,0,0,6,5,3,9,0,9
SSC41432,0,29,38,16,5,92,5,95
SSC41433,3,15,25,8,10,60,3,61
SSC41434,0,0,8,7,0,12,3,19
SSC41435,0,0,0,3,3,8,0,8
SSC41436,0,13,40,23,13,85,5,88
SSC41437,0,19,32,12,8,74,4,73
SSC41438,4,29,39,3,0,80,8,83
SSC41439,0,3,3,4,3,15,0,15
SSC41440,4,49,67,39,16,175,6,184
SSC41441,0,3,4,3,3,8,0,8
SSC41442,0,0,7,5,0,8,0,8
SSC41443,0,13,23,26,14,78,0,86
SSC41444,0,5,5,0,0,14,0,13
SSC41445,68,328,385,119,63,969,17,986
SSC41446,0,0,0,4,0,4,0,4
SSC41447,0,0,0,0,0,0,0,0
SSC41448,43,315,407,118,54,937,30,962
SSC41449,0,4,10,8,7,25,0,25
SSC41450,191,645,463,139,63,1503,48,1551
SSC41451,0,0,0,0,3,5,0,5
SSC41452,0,0,0,0,0,7,4,9
SSC41453,0,3,15,9,10,36,0,38
SSC41454,0,4,3,3,3,17,0,17
SSC41455,107,528,544,155,77,1411,27,1438
SSC41456,30,181,165,58,23,459,8,473
SSC41457,29,294,476,195,84,1080,17,1096
SSC41458,0,35,72,38,34,183,3,188
SSC41459,0,17,27,6,0,50,3,50
SSC41460,45,287,248,75,39,687,33,717
SSC41461,3,37,37,13,21,111,0,113
SSC41462,0,0,3,0,0,6,0,6
