SSC_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC41008,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,3,0,15,0,4,6,5,0,3,0,0,0,17,0,3,0,0,3,0,0,0,0,5,0,5,4,3,0,0,0,0,0,15,0,0,0,0,0,0,7,4,0,12,0,0,0,0,0,6,0,3,0,14,0,0,0,0,0,0,0,0,4,3,0,11,9,6,11,13,12,12,3,89
SSC41009,3,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,5,0,4,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,4,6,18,0,46
SSC41010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,4,6,3,0,0,0,17
SSC41011,0,4,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,3,0,9,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,5,0,3,3,4,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,3,12,8,14,4,9,4,10,0,62
SSC41012,12,9,3,10,3,24,18,40,0,113,12,22,36,29,44,46,38,59,3,287,3,10,4,9,6,9,3,4,0,46,3,24,8,9,4,6,0,4,0,58,3,20,12,11,16,14,5,3,0,96,0,20,13,7,4,5,7,8,0,58,0,0,0,0,0,7,0,0,0,12,0,8,7,4,3,0,0,0,0,29,0,4,0,0,0,0,0,0,0,6,29,116,79,78,92,119,67,122,10,704
SSC41013,0,0,0,0,0,3,0,16,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,21
SSC41014,0,0,4,3,17,9,12,17,0,68,11,11,16,17,40,23,14,15,3,132,0,7,10,10,21,34,8,15,0,100,3,19,12,13,17,4,8,0,3,79,4,15,20,21,38,13,10,4,0,126,6,39,8,9,13,3,3,3,0,85,0,3,0,5,11,8,6,0,0,39,0,14,14,14,14,7,4,7,0,76,0,0,0,0,7,0,0,0,4,15,25,105,92,91,165,101,63,66,15,730
SSC41015,0,0,0,7,15,25,8,31,0,85,0,7,0,3,31,15,11,14,0,79,0,4,0,4,16,10,4,9,0,51,3,3,4,9,15,7,3,5,0,53,0,0,0,6,30,19,11,3,0,68,0,8,7,8,5,10,0,0,0,38,3,0,3,3,5,3,7,0,0,24,0,10,4,4,6,5,3,8,0,41,0,0,0,0,0,0,3,0,5,7,13,32,19,37,118,103,51,68,5,448
SSC41016,0,3,0,0,0,3,0,5,0,11,0,3,0,0,0,3,0,5,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,4,8,3,0,10,5,4,7,0,41
SSC41017,4,0,0,3,8,14,0,12,0,40,4,8,5,4,11,16,10,7,0,63,3,3,7,3,20,25,5,15,0,76,0,11,6,21,12,5,0,3,0,60,0,13,13,12,18,8,3,8,0,68,3,14,4,12,9,6,4,7,0,63,0,8,4,3,3,10,5,14,0,49,0,27,10,6,6,7,3,3,0,71,0,0,0,0,0,0,0,0,3,3,17,77,46,76,87,88,32,62,11,498
SSC41018,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9
