SSC_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC40438,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC40439,1256,16,0,13,0,1289,1703,21,3,3,0,1729,178,11,0,0,0,188,0,0,0,0,0,3,119,5,0,0,0,129,0,0,0,0,0,0,3,0,0,37,0,46,8,0,0,0,0,5,316,16,0,42,3,369,7,0,0,0,0,9,27,0,0,3,0,28,3308,58,10,55,3,3428
SSC40440,19,0,0,0,0,24,21,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,3,50,0,0,3,0,58
SSC40441,41,0,0,0,0,41,32,0,0,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,84
SSC40442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40443,697,34,12,0,0,742,517,72,9,0,5,605,124,49,19,0,0,200,32,18,7,0,0,53,131,20,16,0,0,169,0,0,0,0,0,3,15,0,0,0,0,18,3,0,0,0,0,8,305,88,48,0,0,447,4,3,0,0,0,3,39,8,4,0,0,47,1561,206,70,0,4,1849
SSC40444,7,0,0,10,0,12,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,7,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,19,0,29
SSC40445,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SSC40446,7,0,0,0,0,7,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
SSC40447,32,0,0,0,0,32,36,0,0,0,0,36,7,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,86,0,0,0,0,86
SSC40448,116,20,8,0,0,144,138,51,24,0,0,214,22,31,43,0,0,93,3,17,4,0,0,20,24,16,25,0,0,67,0,3,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,5,48,73,70,0,0,191,0,0,0,0,0,0,3,5,0,0,0,6,311,146,104,0,0,563
SSC40449,62,0,0,0,0,62,51,0,0,0,0,51,5,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,125,0,0,0,0,128
SSC40450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40451,13,0,0,0,0,13,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
SSC40452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40453,6,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15
SSC40454,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC40455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40456,15,0,0,0,0,15,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,4,35,0,0,0,0,35
SSC40457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40458,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC40459,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40460,150,3,0,0,0,155,459,0,0,0,0,458,47,4,0,0,0,54,8,0,0,0,0,8,47,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,4,0,0,0,116,3,0,0,0,0,3,14,0,0,0,0,14,734,7,0,7,0,748
SSC40461,61,31,4,0,0,98,72,25,8,0,0,110,15,38,14,0,0,67,0,0,0,0,0,0,15,11,7,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,33,49,27,0,0,106,0,0,0,0,0,0,3,0,0,0,0,3,172,105,37,0,0,318
SSC40462,401,53,5,0,0,460,256,17,13,0,0,288,53,27,25,0,0,106,15,3,15,0,0,40,44,14,15,0,3,81,0,3,0,0,0,3,0,0,0,0,0,7,4,0,0,0,0,6,121,48,61,0,3,231,5,15,0,0,0,26,22,12,3,0,0,40,806,148,84,0,4,1040
SSC40463,1002,99,45,0,5,1161,488,109,34,0,3,632,119,93,50,0,0,269,0,9,19,0,0,28,99,40,51,0,0,187,0,3,0,0,0,3,8,4,4,0,0,16,0,0,0,0,0,3,233,152,126,0,0,509,3,12,3,0,0,20,39,15,3,0,0,54,1765,393,210,0,5,2376
SSC40464,335,110,61,0,0,508,355,104,46,0,0,500,63,88,86,0,0,235,0,81,0,0,0,85,54,45,40,0,0,147,0,21,12,0,0,27,3,0,0,0,0,6,4,4,0,0,0,7,134,243,138,0,0,514,3,45,59,0,0,109,7,25,6,0,0,38,836,522,307,0,0,1670
SSC40465,20,0,0,0,0,20,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44
SSC40466,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40467,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40469,70,27,0,15,0,108,54,6,0,0,0,64,16,22,0,0,0,40,0,5,18,0,0,18,14,5,0,0,0,21,3,12,0,0,0,13,0,3,0,0,0,7,0,0,0,0,0,0,33,52,18,0,0,103,0,20,0,0,0,22,7,5,0,3,0,14,160,114,22,17,0,318
SSC40470,92,0,0,0,0,93,145,0,0,0,0,149,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,8,263,0,0,3,0,263
SSC40471,612,35,6,0,0,650,755,15,6,0,0,773,172,52,36,0,0,260,12,0,0,0,0,9,96,12,4,0,0,115,5,7,3,0,0,12,11,0,0,0,0,9,0,0,0,0,0,3,300,69,42,0,0,410,11,45,20,0,0,78,31,7,3,0,0,33,1704,170,76,0,0,1953
SSC40472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40473,18,0,0,0,0,18,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,38,0,0,0,0,38
SSC40474,253,43,0,0,0,301,320,36,0,0,0,363,86,81,18,0,0,187,3,57,0,0,0,61,49,21,0,0,0,76,0,3,0,0,0,3,3,3,0,0,0,6,6,4,0,0,0,11,147,175,13,0,0,339,5,0,0,0,0,4,21,13,3,0,0,39,745,265,22,3,3,1035
SSC40475,57,13,0,0,0,72,109,20,0,0,0,127,25,31,0,0,0,57,22,92,0,0,0,113,21,10,0,0,0,33,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,78,133,0,0,0,207,0,0,0,0,0,0,8,4,0,0,0,6,239,177,0,0,0,419
SSC40476,11,0,0,0,0,11,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34
SSC40477,38,0,0,0,0,38,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,66,0,0,0,0,66
SSC40478,94,0,0,0,0,94,66,0,0,0,0,66,14,11,0,0,0,29,8,0,0,0,0,8,17,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,52,11,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,212,11,0,0,0,223
SSC40479,33,0,0,0,0,33,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,43
SSC40480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC40482,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC40483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
SSC40486,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC40487,151,47,9,0,0,210,106,46,3,0,0,154,24,55,13,0,0,90,0,0,110,0,0,114,18,28,14,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,48,80,136,0,0,262,0,0,3,0,0,3,3,5,12,0,0,17,311,180,160,0,0,649
SSC40488,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40489,15,0,0,0,0,15,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32
SSC40490,262,17,4,0,0,294,408,43,14,0,0,461,155,34,28,0,0,210,104,63,49,0,0,218,86,12,3,0,0,101,14,9,4,0,0,35,3,0,0,0,0,7,3,0,0,0,0,7,368,116,93,0,0,573,0,3,0,0,0,12,23,4,8,0,0,36,1062,183,121,0,3,1370
SSC40491,17,0,0,0,0,17,9,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,3,34,4,0,0,0,38
SSC40492,134,0,0,0,0,132,82,0,0,0,0,87,14,0,0,0,0,17,3,0,0,0,0,5,29,0,0,0,0,25,7,4,0,0,0,7,5,0,0,0,0,10,3,0,0,0,0,3,57,8,0,3,0,65,3,7,0,0,0,10,7,0,0,0,0,15,284,12,0,4,3,307
SSC40493,253,53,14,0,0,327,304,59,19,0,3,381,58,40,69,0,0,168,21,46,44,0,0,110,53,26,30,0,0,107,3,3,3,0,0,13,6,5,3,0,0,16,4,0,0,0,0,4,145,125,145,0,0,415,6,10,3,0,0,17,17,3,10,0,0,33,727,248,196,0,10,1171
SSC40494,78,9,0,0,0,87,101,4,3,0,0,108,18,9,11,0,0,37,6,8,7,0,0,19,20,3,4,0,0,29,0,3,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,49,27,26,0,0,97,0,0,0,0,0,0,4,0,0,0,0,5,227,43,31,0,0,305
SSC40495,252,39,0,0,0,293,214,34,3,0,0,249,25,11,5,0,0,43,0,0,0,0,0,0,14,6,0,0,0,27,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,5,52,20,7,0,0,73,0,0,0,0,0,0,5,10,0,0,0,17,523,104,11,0,0,639
SSC40496,296,4,3,3,0,308,346,4,3,0,0,349,36,0,4,0,0,45,0,0,0,0,0,0,14,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,4,0,0,60,4,0,0,0,0,4,11,0,0,0,0,11,712,9,9,5,0,734
SSC40497,48,0,0,3,0,49,60,0,0,0,0,62,3,0,0,0,0,7,0,0,0,0,0,0,10,3,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,10,3,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,3,124,3,0,4,0,129
SSC40498,78,0,0,0,0,82,115,0,0,0,0,115,10,0,0,0,0,10,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,4,0,0,0,0,4,4,0,0,0,0,4,228,0,0,0,0,227
SSC40499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40500,104,118,258,0,4,482,70,60,133,0,0,265,21,101,342,15,0,478,0,15,9,0,0,16,18,32,101,0,0,154,0,0,11,0,0,14,0,0,6,0,0,3,0,3,9,0,0,17,40,151,468,15,0,676,0,0,34,0,0,37,4,12,31,0,3,45,223,339,924,19,7,1517
SSC40501,360,153,36,0,0,557,313,114,35,0,0,459,55,160,135,0,0,351,0,6,0,0,0,6,38,95,52,0,0,184,0,7,5,0,0,9,3,4,0,0,0,8,0,8,3,0,0,9,100,272,193,0,0,566,0,9,5,0,0,14,10,15,11,0,0,36,789,565,284,0,3,1637
SSC40502,505,218,82,0,0,803,554,191,72,0,0,812,145,230,242,0,0,618,0,4,28,0,0,40,86,95,49,0,0,237,0,5,32,0,0,40,5,3,4,0,0,15,6,3,6,0,0,14,247,343,366,0,4,960,6,6,20,0,0,28,18,15,14,0,0,48,1326,764,552,0,3,2653
SSC40503,173,101,33,0,0,302,139,62,32,0,3,234,28,81,106,0,0,213,0,4,3,0,0,4,13,65,40,3,6,123,0,4,6,0,0,10,0,3,3,0,0,9,0,3,0,0,0,6,39,155,164,4,9,370,0,8,20,0,0,34,8,13,11,0,0,25,361,333,258,6,9,967
SSC40504,513,285,10,0,0,814,485,256,3,0,0,745,104,155,3,0,0,268,3,29,26,0,0,64,89,66,0,0,0,155,0,3,3,0,0,10,3,3,0,0,0,11,4,0,0,0,0,3,207,261,38,0,3,506,11,48,13,0,0,64,18,23,0,0,0,43,1234,868,62,0,5,2173
SSC40505,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,24
SSC40506,160,173,71,0,0,410,109,52,46,0,0,207,26,46,122,0,0,203,0,5,68,0,0,75,16,19,65,0,0,101,0,9,0,0,0,9,0,3,0,0,0,8,0,0,0,0,0,3,47,90,253,0,0,398,0,94,23,0,0,119,0,20,13,0,0,32,315,439,407,3,0,1157
SSC40507,261,70,14,0,0,347,185,34,14,0,0,241,39,20,51,0,0,109,0,0,0,0,0,0,28,12,19,0,0,59,0,0,0,0,0,0,0,7,0,0,0,3,0,0,3,0,0,3,68,37,70,0,0,177,4,3,0,0,0,8,4,5,0,0,0,11,525,154,102,0,0,778
SSC40508,47,0,0,0,0,47,44,0,0,0,0,44,5,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,3,126,0,0,0,0,126
SSC40509,128,0,0,0,0,128,151,0,0,0,0,154,25,0,0,0,0,26,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,64,0,0,0,0,64,0,0,0,0,0,0,10,0,0,0,0,16,358,0,0,0,0,359
SSC40510,230,35,9,0,0,276,130,7,22,0,0,160,48,19,37,0,0,104,3,3,6,0,0,20,52,10,12,0,0,78,0,11,0,0,0,11,6,3,0,0,0,5,0,0,0,0,0,0,121,44,58,0,4,219,70,63,0,0,0,135,17,15,0,0,0,34,569,168,86,0,4,826
SSC40511,1012,133,0,0,0,1142,1548,61,0,0,3,1618,237,82,0,0,0,314,165,67,0,0,0,238,134,29,0,0,3,166,4,21,0,0,0,19,25,4,0,0,0,26,3,0,0,0,0,3,565,197,0,0,3,765,30,133,0,0,0,165,48,17,0,0,0,69,3207,542,7,0,7,3763
SSC40512,47,0,0,0,0,48,30,0,0,0,0,34,7,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,18,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,4,100,0,0,3,0,108
SSC40513,10,0,0,0,0,10,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
SSC40514,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40515,279,52,34,0,3,368,244,56,41,3,0,342,71,38,116,0,3,227,3,16,20,0,0,41,49,40,53,0,0,147,0,4,7,0,0,15,0,0,3,0,0,4,0,0,0,0,0,3,125,101,204,3,3,436,3,5,0,0,0,6,15,6,4,0,0,22,669,213,285,5,5,1181
SSC40516,491,34,8,7,0,543,179,8,8,0,0,191,83,15,14,0,0,117,13,19,0,0,0,31,55,15,13,0,0,81,15,8,0,0,0,19,4,0,0,0,0,8,3,0,5,0,0,6,171,59,34,3,0,261,25,0,0,0,0,25,25,3,9,0,3,38,898,106,53,13,6,1066
SSC40517,351,4,0,0,0,355,258,0,0,0,0,257,134,3,0,0,0,137,5,0,0,0,0,5,77,3,0,0,0,77,9,0,0,0,0,9,11,0,0,0,0,11,8,0,0,0,0,8,228,7,0,0,0,238,43,0,0,0,0,43,21,0,0,0,0,21,900,8,0,0,0,912
SSC40518,212,3,0,0,3,220,104,3,0,0,0,104,34,3,0,0,0,40,7,0,0,0,0,7,17,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,0,0,68,3,0,0,0,0,3,11,0,0,0,0,7,397,10,0,0,3,414
SSC40519,183,4,3,0,0,190,115,5,0,0,0,122,47,10,3,0,0,64,7,0,0,0,0,8,46,7,3,0,0,50,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,99,13,12,0,0,125,5,0,0,0,0,4,15,0,3,0,0,15,412,21,18,3,0,454
SSC40520,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,9
