SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC41510,37,0,725,50,1375,0.7,900,2.2
SSC41511,44,1250,860,0,1958,0.6,1624,2.6
SSC41512,43,0,820,0,0,0.2,900,1
SSC41513,42,1500,610,110,1562,0.7,1339,2.5
SSC41514,47,1083,455,213,1199,0.7,733,2
SSC41515,44,1257,769,100,1374,0.6,1042,2
SSC41516,48,1083,664,0,1774,0.7,1125,2.3
SSC41517,43,0,462,0,850,0.5,849,2
SSC41518,46,1083,624,255,1375,0.9,1312,2.3
SSC41519,39,1860,593,200,1437,0.8,1354,3.2
SSC41520,53,0,556,160,1312,0.6,899,2.2
SSC41521,44,1000,395,150,1075,0.7,956,2.7
SSC41522,54,0,1125,0,0,0,0,0
SSC41523,48,800,496,130,1192,0.7,918,2.1
SSC41524,42,1717,670,350,1714,0.8,1329,2.3
SSC41525,44,0,612,0,1625,0.7,1042,2.4
SSC41526,53,0,549,0,1125,0,1249,2
SSC41527,36,824,575,0,962,0,1062,1.5
SSC41528,31,1500,507,255,1547,0.8,1379,2.6
SSC41529,0,0,0,0,0,0,0,0
SSC41530,40,0,825,0,2125,0.7,1875,1.9
SSC41531,40,2167,1069,238,3083,0.9,3042,2.7
SSC41532,45,537,435,23,1062,0.9,880,2.7
SSC41533,54,1733,398,162,870,0.8,767,2.4
SSC41534,44,1300,631,220,1562,0.8,1403,2.6
SSC41535,0,0,0,0,0,0,0,0
SSC41536,44,1324,547,280,1430,0.7,1375,2.9
SSC41537,44,2200,761,445,2181,0.8,1889,2.8
SSC41538,39,412,949,50,2124,0.8,1699,2.9
SSC41539,43,0,949,0,1875,0.6,1875,2.5
SSC41540,41,0,822,105,1562,0.9,1208,3
SSC41541,34,1950,773,315,2311,0.9,1673,2.3
SSC41542,62,615,430,0,725,0.7,700,1.8
SSC41543,0,0,0,0,0,0,0,0
SSC41544,59,1278,465,200,1174,0.6,735,1.9
SSC41545,32,433,687,124,1687,0.8,1874,3.1
SSC41546,42,1636,514,293,1539,0.9,1185,2.4
SSC41547,55,934,539,180,1166,0.7,1067,2
SSC41548,62,1300,525,185,1208,0.6,911,1.9
SSC41549,47,347,537,0,1312,0.8,1292,2.8
SSC41550,43,1950,723,290,1908,0.8,1422,2.4
SSC41551,45,0,1125,0,0,0,0,0
SSC41552,38,1600,599,320,1612,0.9,1328,2.6
SSC41553,36,1695,626,290,1596,0.8,1278,2.3
