SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC40117,0,11,9,13,13,15,8,13,0,84,0,10,3,5,6,5,8,4,8,56,96,281,219,273,394,303,192,274,24,2048
SSC40118,4,13,3,15,11,7,4,10,0,69,3,7,3,8,15,14,0,5,27,78,53,237,167,230,423,243,135,177,51,1713
SSC40119,4,14,8,22,29,27,12,14,0,139,0,10,3,6,22,15,13,13,16,98,136,338,308,438,826,604,323,386,42,3407
SSC40120,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,4,10,3,26,26,28,29,27,16,34,8,193
SSC40121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,12
SSC40122,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7,13,14,14,15,8,16,4,98
SSC40123,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,5,3,6,11,0,12,0,42
SSC40124,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,5,23,23,21,15,32,15,25,3,162
SSC40125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,9,0,20
SSC40126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,15
SSC40127,0,3,3,0,7,0,0,0,0,10,0,4,0,0,0,0,0,0,4,10,15,39,23,30,37,39,15,56,7,246
SSC40128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,3,0,3,0,22
SSC40129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10
SSC40131,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,10,5,6,14,13,11,13,3,82
SSC40132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SSC40133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC40134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5
SSC40135,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,3,9,6,10,8,16,5,14,8,87
SSC40136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11,6,10,7,15,0,56
SSC40137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,4,0,4,0,21
SSC40138,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,9,10,6,24,32,24,21,34,17,75,7,243
SSC40139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SSC40140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,14
SSC40141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,3,11,8,0,0,34
SSC40142,3,6,12,7,14,17,18,16,0,82,4,3,5,4,16,11,3,3,11,68,83,169,125,145,383,210,125,168,38,1443
SSC40143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,3,10,0,26
SSC40144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,11,3,22
SSC40145,3,0,0,5,4,5,5,0,0,24,0,3,0,0,3,3,3,7,3,21,19,67,50,71,77,73,62,73,14,503
SSC40146,0,0,0,3,4,0,0,0,0,14,0,0,0,4,0,3,0,4,0,18,24,51,38,63,107,89,54,65,7,491
SSC40147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,12
SSC40148,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,10,10,10,3,11,7,16,0,62
SSC40149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,18
