SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC41293,18,32,0,0,4,19,0,8,3,14,9,38,3,7,0,0,3,13,6,17,12,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,85
SSC41294,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,23
SSC41295,7,16,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24
SSC41296,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC41297,27,55,0,3,4,10,0,3,9,33,14,59,0,0,3,14,6,25,15,39,24,98,0,0,3,6,0,0,0,6,3,10,0,0,0,3,0,4,0,4,5,20,0,0,64,170
SSC41298,242,486,0,10,18,67,7,28,121,447,149,552,11,30,22,71,51,145,83,247,227,793,0,4,8,20,0,4,24,64,34,94,4,6,13,28,24,50,45,86,77,181,6,20,555,1477
SSC41299,307,602,3,10,23,97,5,23,153,564,179,696,11,46,36,119,54,169,101,329,279,1022,0,5,9,30,3,6,41,95,51,137,4,7,10,18,47,103,61,130,112,264,13,28,708,1917
SSC41300,299,593,0,12,14,60,3,15,189,692,205,779,13,49,19,69,41,113,68,239,276,1016,0,0,5,29,4,15,71,175,77,224,10,30,18,49,75,158,111,239,188,459,23,47,787,2111
SSC41301,173,355,0,3,14,72,3,12,107,395,122,482,15,53,24,82,34,100,64,233,193,722,0,0,3,16,0,0,17,43,22,58,3,14,7,6,23,42,29,69,53,129,3,4,426,1208
SSC41302,534,1067,9,33,43,187,14,59,250,953,310,1233,10,53,31,101,85,266,132,424,443,1652,3,14,24,59,3,13,103,293,131,381,8,21,19,31,70,150,91,206,225,584,18,35,1219,3343
SSC41303,10,20,0,0,0,0,0,0,3,12,3,12,0,0,0,4,0,0,4,5,3,17,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,3,0,0,17,43
SSC41304,345,689,9,38,30,149,5,18,319,1221,370,1428,21,68,16,68,47,154,87,290,456,1719,3,15,29,76,8,41,149,431,193,555,11,40,21,54,45,106,77,196,269,751,18,39,1085,3191
SSC41305,583,1167,13,85,72,348,21,97,439,1716,551,2245,44,171,65,203,133,420,239,798,788,3046,0,11,27,90,10,39,133,353,172,500,10,36,31,70,89,196,133,300,305,800,23,44,1700,5049
SSC41306,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC41307,983,1959,12,77,71,327,23,117,534,1981,644,2512,80,331,83,278,252,799,409,1402,1056,3914,10,73,46,163,14,55,195,519,267,808,28,90,72,169,276,606,375,856,649,1668,81,172,2759,7712
SSC41308,316,633,0,10,35,162,7,26,197,775,239,974,17,75,27,102,60,186,111,362,353,1339,0,9,3,13,3,5,51,131,54,160,6,20,4,13,44,91,55,123,115,283,11,22,795,2278
SSC41309,5,11,0,5,0,4,0,3,3,3,3,21,0,0,0,0,0,3,0,3,4,27,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,3,0,0,17,40
SSC41310,36,70,0,0,0,0,0,0,5,16,5,16,0,6,0,5,4,11,4,17,7,38,0,0,0,0,0,0,3,17,3,17,0,0,4,3,4,5,7,7,11,23,0,0,53,125
SSC41311,17,35,0,0,0,6,0,3,12,36,15,47,0,4,0,0,7,26,7,27,21,73,0,0,0,0,0,0,3,13,3,13,0,0,0,0,4,14,10,15,12,31,0,0,48,143
SSC41312,10,16,0,0,0,14,0,0,5,22,4,35,0,0,0,3,0,3,0,3,11,37,0,0,0,0,0,0,5,14,5,14,0,0,0,0,0,0,0,0,6,14,0,0,24,66
SSC41313,114,231,4,17,13,54,3,10,104,391,124,471,4,25,14,42,23,62,39,131,166,607,0,0,0,3,0,0,14,28,9,32,5,16,9,18,19,37,26,70,44,107,6,17,328,955
SSC41314,259,513,7,27,26,118,11,56,160,633,204,826,20,72,25,88,56,167,99,327,302,1160,0,6,6,23,3,15,55,145,67,189,9,18,13,29,39,79,60,124,126,319,4,9,699,2000
SSC41315,42,91,0,3,3,16,4,8,21,64,25,90,0,14,6,31,9,34,19,71,47,162,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,4,13,4,13,0,3,95,266
SSC41316,279,552,0,5,26,113,7,14,155,575,188,709,18,65,33,109,52,162,99,337,283,1049,0,15,6,22,0,4,28,61,38,103,8,24,12,22,47,96,67,136,105,243,19,33,685,1880
SSC41317,473,932,4,30,30,117,11,57,196,754,244,956,23,80,36,120,81,248,136,451,378,1411,6,24,20,61,9,19,97,254,120,354,8,33,30,63,96,205,135,296,254,652,30,60,1136,3056
SSC41318,100,205,0,0,3,13,3,10,72,279,79,298,7,29,12,34,17,51,36,112,111,413,0,0,3,15,0,0,12,33,17,47,3,13,9,14,17,28,22,56,46,108,4,7,257,727
SSC41319,13,26,0,0,0,5,0,0,12,53,11,56,0,0,0,0,6,12,4,20,19,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,103
SSC41320,20,37,0,0,0,0,0,0,13,52,13,52,0,0,0,0,5,17,7,18,21,73,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,42,112
SSC41321,17,28,0,0,0,0,0,0,12,31,12,31,0,0,0,4,7,17,5,14,15,50,0,0,0,3,0,0,0,0,4,11,0,0,0,0,0,0,0,0,4,11,0,0,33,93
SSC41322,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
SSC41323,17,38,0,0,4,14,0,7,9,22,12,36,0,7,3,5,3,14,10,28,15,62,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,3,0,3,3,9,0,0,41,113
SSC41324,6,10,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,4,3,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22
SSC41325,593,1168,11,73,99,440,15,73,618,2350,742,2930,52,219,104,338,184,586,342,1139,1082,4073,0,6,18,57,7,12,92,249,119,329,20,61,24,46,77,161,115,273,232,601,13,33,1928,5871
SSC41326,4,7,0,0,0,0,0,0,3,15,3,15,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28
SSC41327,16,32,0,0,0,7,0,0,6,23,6,26,0,0,0,0,0,4,0,4,6,32,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,25,63
SSC41328,6,19,0,7,0,0,0,3,13,46,16,56,0,0,0,0,3,3,3,3,18,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,80
SSC41329,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
SSC41330,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
SSC41331,41,71,0,3,5,31,0,0,16,53,22,89,4,20,6,12,10,20,15,53,35,142,0,0,0,0,0,0,4,5,4,5,0,0,0,0,3,5,3,5,6,15,0,3,83,227
SSC41332,4,5,0,0,0,0,0,3,0,0,0,3,0,3,4,8,0,3,5,19,7,23,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,3,3,3,3,10,0,0,11,36
SSC41333,181,371,11,53,17,89,9,38,118,471,159,658,5,35,10,25,27,85,41,144,198,804,4,11,14,62,10,26,83,234,109,342,3,13,19,42,62,125,80,177,189,517,21,36,589,1732
SSC41334,167,334,0,6,23,140,17,73,144,610,185,830,8,21,14,46,32,92,49,159,233,986,4,10,19,77,11,53,138,367,168,504,11,27,24,52,70,156,104,238,279,746,8,24,685,2094
SSC41335,45,89,0,0,0,3,0,0,11,50,16,52,3,6,3,6,0,7,5,23,22,72,0,0,0,0,0,0,0,10,0,10,0,0,0,0,7,11,7,11,9,20,0,0,70,177
SSC41336,67,130,0,5,3,19,0,3,15,75,22,98,0,5,0,10,5,14,9,24,29,119,0,0,4,17,0,0,9,32,17,51,0,3,0,3,6,11,8,19,23,69,0,0,121,316
SSC41337,8,14,0,0,0,5,0,0,8,32,8,31,0,0,0,4,0,0,0,4,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,16,55
SSC41338,116,223,0,9,3,22,10,27,34,135,49,192,5,31,6,22,21,64,33,116,81,308,0,0,3,8,3,24,27,77,35,104,6,12,0,3,16,27,15,42,56,146,8,18,258,697
SSC41339,605,1190,5,40,72,307,7,30,280,1092,368,1462,34,160,90,304,99,315,220,777,588,2240,3,8,4,27,4,10,52,123,68,169,5,21,20,47,68,144,98,211,170,382,27,61,1389,3868
SSC41340,294,582,6,19,19,91,6,36,151,572,188,722,11,59,23,85,40,123,81,256,264,978,0,0,7,12,0,4,38,89,47,101,0,5,19,40,42,93,68,140,111,240,12,28,680,1823
