SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC41344,4,0,7,36,29,3,68,151,12,229
SSC41345,6,0,6,44,19,0,65,156,13,234
SSC41346,0,0,0,0,0,0,0,0,0,3
SSC41347,0,0,0,8,3,0,16,26,0,40
SSC41348,0,0,0,23,4,0,30,48,7,84
SSC41349,0,0,0,10,0,0,9,34,0,47
SSC41350,15,5,21,73,34,5,112,315,25,456
SSC41351,4,0,4,98,39,7,145,349,58,548
SSC41352,0,0,0,4,0,0,8,13,0,27
SSC41353,170,7,182,621,304,29,949,2396,150,3490
SSC41354,0,0,3,292,79,4,373,999,71,1442
SSC41355,39,0,37,315,129,10,453,805,45,1304
SSC41356,0,0,0,4,0,0,7,13,0,18
SSC41357,0,0,0,7,0,0,7,3,0,10
SSC41358,0,0,0,0,4,0,7,57,3,68
SSC41359,0,0,0,4,3,0,11,19,3,30
SSC41360,45,8,54,469,153,18,641,1472,147,2258
SSC41361,32,6,45,243,70,15,329,861,46,1235
SSC41362,54,0,61,523,196,25,741,1815,124,2677
SSC41363,0,0,0,6,0,0,6,17,7,25
SSC41364,0,0,0,67,22,4,93,204,26,323
SSC41365,49,4,54,60,44,0,108,435,43,587
SSC41366,0,0,0,5,0,0,7,19,0,25
SSC41367,0,0,0,0,0,0,0,17,0,15
SSC41368,0,0,0,0,0,0,0,0,0,0
SSC41369,20,0,24,122,47,5,171,525,53,750
SSC41370,0,0,0,12,3,3,17,27,4,50
SSC41371,72,8,82,516,220,34,774,1472,120,2365
SSC41372,14,4,19,385,184,25,598,941,657,2193
SSC41373,9,0,9,26,36,4,62,143,23,230
SSC41374,0,0,0,127,28,3,159,148,20,326
SSC41375,0,0,0,3,0,0,4,8,0,16
SSC41376,0,0,0,3,0,0,5,3,0,10
SSC41377,0,0,0,9,5,0,15,30,0,44
SSC41378,0,0,0,3,0,0,3,16,3,21
SSC41379,0,0,0,16,15,0,31,46,5,85
SSC41380,20,0,20,223,90,3,321,622,34,982
SSC41381,0,0,0,0,0,0,3,0,0,6
SSC41382,141,64,201,1038,505,41,1585,3243,476,5300
SSC41383,34,18,52,195,62,13,269,708,140,1116
SSC41384,0,0,0,10,0,0,10,18,3,37
SSC41385,0,0,0,0,3,0,3,11,0,14
SSC41386,0,0,0,0,0,0,0,0,0,0
SSC41387,0,0,0,0,0,0,0,0,0,0
SSC41388,59,15,75,315,150,10,469,1543,177,2190
SSC41389,0,0,0,0,0,0,0,25,0,25
SSC41390,6,0,6,103,66,3,175,331,39,544
SSC41391,0,0,8,48,12,4,60,219,40,319
SSC41392,0,0,0,4,0,0,4,23,4,30
SSC41393,0,0,0,6,0,0,4,26,4,36
SSC41394,0,0,0,16,0,0,25,46,9,76
SSC41395,0,0,0,8,5,0,9,23,0,33
SSC41396,24,4,31,618,229,31,877,1679,118,2672
SSC41397,0,0,0,9,0,0,12,24,3,34
SSC41398,0,4,3,108,56,3,164,281,19,466
SSC41399,5,0,5,26,5,0,35,201,23,264
SSC41400,0,0,0,22,6,0,28,80,8,119
SSC41401,0,0,0,0,0,0,0,14,0,14
SSC41402,28,8,37,223,102,7,325,960,124,1412
SSC41403,0,0,0,7,0,0,5,11,4,22
SSC41404,0,0,0,0,0,0,0,9,0,8
SSC41405,3,0,3,68,29,3,105,277,35,410
SSC41406,196,31,232,685,322,32,1041,2519,268,3830
SSC41407,40,0,46,421,173,21,615,1693,200,2506
SSC41408,0,0,0,3,6,3,15,15,0,32
SSC41409,0,0,0,3,6,0,5,22,11,37
SSC41410,0,0,0,0,0,0,0,0,0,0
SSC41411,0,0,0,10,3,3,10,25,0,44
SSC41412,0,0,3,49,21,0,77,125,26,227
SSC41413,0,0,0,3,3,0,3,16,0,24
SSC41414,3,0,3,42,51,0,95,241,20,354
SSC41415,4,0,4,27,19,8,55,115,12,174
SSC41416,0,0,0,0,3,0,3,4,0,4
SSC41417,0,0,0,53,28,3,87,132,21,239
SSC41418,46,8,59,536,255,30,821,1795,122,2736
SSC41419,0,0,0,0,0,0,0,0,0,3
SSC41420,0,0,0,16,3,0,23,54,3,80
SSC41421,0,0,0,29,12,0,33,56,3,101
SSC41422,26,3,24,139,102,4,243,706,95,1043
SSC41423,0,0,0,0,3,0,3,9,6,16
SSC41424,3,0,4,136,66,9,211,433,34,677
SSC41425,4,0,3,11,7,0,24,73,18,120
SSC41426,0,0,0,3,0,0,5,8,0,17
SSC41427,0,0,0,6,4,0,14,75,7,98
SSC41428,0,0,0,20,12,0,35,89,5,131
SSC41429,32,4,33,178,64,12,252,918,96,1264
SSC41430,3,6,13,73,40,0,116,285,75,469
SSC41431,0,0,0,9,5,0,11,13,3,31
SSC41432,0,0,3,29,15,0,44,119,16,179
SSC41433,3,0,3,37,9,0,44,104,8,152
SSC41434,0,0,0,3,0,0,3,24,3,35
SSC41435,0,0,0,5,0,0,8,5,0,16
SSC41436,0,0,0,55,22,7,81,105,18,211
SSC41437,3,0,3,20,7,3,35,123,17,175
SSC41438,7,8,9,7,6,0,11,139,22,173
SSC41439,0,0,0,4,0,0,6,19,0,21
SSC41440,11,4,18,86,37,9,125,254,23,409
SSC41441,0,0,0,0,3,0,4,15,0,21
SSC41442,0,0,0,6,0,0,6,15,0,18
SSC41443,0,0,0,41,25,3,67,114,25,204
SSC41444,0,0,0,4,4,0,7,18,3,29
SSC41445,72,5,81,443,219,20,681,1400,93,2177
SSC41446,0,0,0,3,0,0,3,11,3,19
SSC41447,0,0,0,0,0,0,0,0,0,0
SSC41448,65,8,80,411,193,26,622,1395,145,2168
SSC41449,0,0,0,14,5,3,14,36,3,61
SSC41450,58,4,68,594,184,19,790,2506,188,3487
SSC41451,0,0,0,0,0,0,0,17,0,18
SSC41452,0,0,0,0,0,0,0,12,0,17
SSC41453,0,0,0,11,12,0,19,57,3,86
SSC41454,0,0,0,0,0,0,0,19,3,27
SSC41455,83,16,106,638,216,20,874,2079,159,3106
SSC41456,21,3,20,199,83,14,293,688,46,1023
SSC41457,100,5,107,582,173,24,780,1662,102,2546
SSC41458,3,0,3,97,42,4,142,277,26,443
SSC41459,3,0,3,21,9,0,33,60,10,103
SSC41460,55,24,83,185,131,16,330,940,136,1406
SSC41461,3,0,3,43,11,0,57,169,34,256
SSC41462,0,0,0,7,4,0,4,6,5,16
SSC41463,29,3,29,254,133,9,403,764,30,1196
SSC41464,21,9,31,430,186,26,638,1216,178,2031
SSC41465,0,0,0,4,0,0,4,7,0,6
SSC41466,0,0,0,0,0,0,0,5,0,6
SSC41467,0,0,0,0,0,0,0,0,0,0
SSC41468,0,0,0,37,27,0,69,194,9,267
SSC41469,0,0,0,0,0,0,0,0,0,0
SSC41470,0,0,0,3,7,0,8,12,0,22
SSC41471,0,0,0,9,0,0,9,17,3,24
SSC41472,43,10,50,374,134,10,518,1326,107,1949
SSC41473,0,0,0,37,17,0,54,54,4,110
SSC41474,66,3,64,621,251,25,897,2340,175,3410
SSC41475,30,4,35,222,118,12,348,753,86,1185
SSC41476,0,0,0,0,0,0,0,0,0,0
SSC41477,0,0,0,45,37,0,84,142,11,233
SSC41478,7,0,9,182,69,8,258,477,34,771
SSC41479,27,3,25,92,37,5,135,306,26,462
SSC41480,3,0,3,4,7,0,9,21,10,41
SSC41481,22,3,23,164,83,5,243,545,32,820
SSC41482,0,0,0,3,4,0,3,4,0,9
SSC41483,73,11,87,357,152,8,514,1260,114,1888
SSC41484,95,19,110,999,432,39,1477,3292,276,5048
SSC41485,0,0,0,6,0,0,6,3,0,14
SSC41486,4,0,4,3,7,0,14,41,0,55
SSC41487,0,0,0,38,25,0,63,98,7,171
SSC41488,0,0,0,28,0,0,29,33,0,58
SSC41489,241,88,330,453,251,26,728,2631,347,3704
SSC41490,4,0,4,12,5,0,12,60,4,76
SSC41491,18,0,13,295,110,10,409,902,114,1427
SSC41492,7,3,8,147,95,5,249,540,48,830
SSC41493,0,0,0,8,11,0,20,36,0,57
SSC41494,0,0,0,5,0,0,6,9,0,15
SSC41495,116,12,135,388,143,11,546,1507,192,2244
SSC41496,4,0,4,52,31,5,80,159,24,269
SSC41497,3,0,5,6,9,0,19,65,10,93
SSC41498,168,15,181,361,192,10,566,1590,143,2306
SSC41499,117,11,124,662,241,24,931,1702,122,2747
SSC41500,0,0,0,12,3,0,15,34,5,51
SSC41501,0,0,0,3,0,0,3,5,0,8
SSC41502,52,64,116,373,211,14,606,2050,342,2999
SSC41503,4,0,6,67,27,0,93,221,36,349
SSC41504,0,0,0,14,0,3,16,21,0,31
SSC41505,0,0,0,0,0,0,0,0,0,0
SSC41506,0,0,0,0,0,0,0,5,0,6
