SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC40141,3,0,3,13,4,0,14,38,4,49
SSC40142,81,54,142,412,183,11,602,1554,289,2445
SSC40143,0,0,0,5,5,0,12,16,4,32
SSC40144,0,0,0,9,3,0,14,17,3,34
SSC40145,0,0,0,206,58,17,277,409,29,715
SSC40146,8,3,12,83,47,10,137,612,79,835
SSC40147,0,0,0,6,7,0,9,25,0,39
SSC40148,0,0,3,19,9,0,30,75,8,112
SSC40149,0,0,0,4,0,0,4,25,0,28
SSC40150,0,0,0,8,0,0,10,25,9,43
SSC40151,3,0,3,22,15,0,38,111,14,162
SSC40152,0,0,0,5,0,0,5,10,0,14
SSC40153,42,17,51,507,182,18,709,1752,203,2657
SSC40154,0,0,0,0,0,0,4,16,0,23
SSC40155,0,0,0,13,4,0,16,16,0,37
SSC40156,0,0,0,0,0,0,0,4,0,4
SSC40157,0,0,0,11,9,0,17,43,5,65
SSC40158,34,3,37,734,268,32,1036,1635,117,2793
SSC40159,0,0,0,8,0,0,8,17,4,29
SSC40160,169,24,194,504,289,20,812,2111,149,3072
SSC40161,0,0,0,20,0,0,22,19,0,42
SSC40162,0,0,0,16,0,0,19,48,4,69
SSC40163,3,0,3,41,24,0,69,146,23,232
SSC40164,104,31,139,665,220,18,903,2365,202,3473
SSC40165,198,3,201,364,130,10,508,2549,177,3231
SSC40166,0,0,0,8,8,0,16,28,13,62
SSC40167,105,9,116,775,259,19,1050,2775,242,4063
SSC40168,0,0,0,0,0,0,0,4,3,5
SSC40169,0,0,0,0,0,0,0,5,4,7
SSC40170,0,0,0,6,3,0,12,30,0,41
SSC40171,0,0,0,10,0,0,10,26,6,43
SSC40172,3,0,3,37,3,3,44,138,22,201
SSC40173,0,0,0,0,0,0,0,4,0,9
SSC40174,3,0,3,62,22,3,90,223,39,357
SSC40175,0,0,0,9,3,0,17,11,0,31
SSC40176,0,0,3,18,11,0,29,127,15,174
SSC40177,0,0,0,9,0,0,9,11,0,27
SSC40178,5,0,5,22,15,3,40,84,13,144
SSC40179,0,0,0,17,0,0,16,17,3,28
SSC40180,0,0,0,3,4,0,7,16,0,26
SSC40181,4,3,11,33,25,0,57,126,17,198
SSC40182,0,0,0,19,6,3,30,64,4,95
SSC40183,0,0,0,3,0,0,3,14,0,21
SSC40184,0,0,0,0,0,0,0,9,0,9
SSC40185,0,0,0,0,0,0,0,12,3,12
SSC40186,0,0,0,13,9,0,18,17,3,38
SSC40187,0,0,0,0,0,0,0,0,0,3
SSC40188,0,0,0,17,7,0,27,57,11,89
SSC40189,0,0,0,0,0,0,3,3,3,6
SSC40190,0,0,0,34,11,5,49,70,14,136
SSC40191,0,0,0,3,0,0,3,0,0,3
SSC40192,68,10,74,532,219,28,785,1463,104,2351
SSC40193,20,3,23,146,69,5,220,613,85,923
SSC40194,0,0,0,0,0,0,0,12,0,12
SSC40195,0,0,0,18,8,5,29,44,5,83
SSC40196,61,3,65,1225,331,54,1607,2825,297,4727
SSC40197,13,3,14,63,26,0,86,217,32,331
SSC40198,0,0,0,13,0,0,17,25,3,41
SSC40199,3,0,3,24,15,0,41,244,231,518
SSC40200,0,0,0,10,4,0,13,21,3,37
SSC40201,0,0,0,0,3,0,3,4,3,9
SSC40202,0,0,0,3,0,0,3,4,6,18
SSC40203,8,0,8,94,38,11,141,307,54,504
SSC40204,0,0,0,11,3,3,11,24,3,37
SSC40205,3,0,3,22,12,0,33,90,5,121
SSC40206,7,0,5,10,0,0,16,67,20,108
SSC40207,0,0,0,3,4,0,5,7,0,10
SSC40208,0,0,0,3,0,0,6,15,3,26
SSC40209,10,7,13,40,19,0,50,177,24,250
SSC40210,93,0,101,436,200,18,652,1953,143,2747
SSC40211,388,44,430,1298,457,25,1782,4552,468,6801
SSC40212,0,0,0,12,0,0,10,21,0,36
SSC40213,0,0,0,25,3,3,31,74,20,118
SSC40214,0,0,0,3,0,0,5,0,0,8
SSC40215,0,0,0,9,3,0,6,19,0,25
SSC40216,0,0,0,0,3,0,9,6,4,16
SSC40217,0,0,0,3,0,0,3,5,0,11
SSC40218,0,0,0,9,4,0,14,29,9,44
SSC40219,0,0,0,3,3,0,9,30,6,45
SSC40220,3,0,3,26,7,0,39,171,26,239
SSC40221,0,0,0,8,0,0,8,15,4,25
SSC40222,0,0,0,3,0,0,3,0,0,3
SSC40223,0,0,0,0,0,0,0,3,0,3
SSC40224,0,0,0,7,3,0,10,11,0,24
SSC40225,4,0,4,58,39,0,98,249,19,365
SSC40226,0,0,0,3,0,0,7,9,0,16
